Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
75,20,7,104,4,Some Random Commen with Id 75
76,20,7,193,1,Some Random Commen with Id 76
77,20,7,31,0,Some Random Commen with Id 77
78,20,7,180,2,Some Random Commen with Id 78
79,20,7,50,3,Some Random Commen with Id 79
80,20,7,144,2,Some Random Commen with Id 80
81,20,7,8,4,Some Random Commen with Id 81
82,21,8,153,1,Some Random Commen with Id 82
83,22,7,62,1,Some Random Commen with Id 83
84,22,7,190,2,Some Random Commen with Id 84
85,22,7,105,4,Some Random Commen with Id 85
86,22,7,128,4,Some Random Commen with Id 86
87,22,7,78,0,Some Random Commen with Id 87
88,22,7,178,3,Some Random Commen with Id 88
89,23,1,42,2,Some Random Commen with Id 89
90,23,1,12,4,Some Random Commen with Id 90
91,23,1,92,3,Some Random Commen with Id 91
92,23,1,190,4,Some Random Commen with Id 92
93,23,1,88,8,Some Random Commen with Id 93
94,23,1,6,0,Some Random Commen with Id 94
95,25,8,141,5,Some Random Commen with Id 95
96,25,8,92,0,Some Random Commen with Id 96
97,26,4,152,7,Some Random Commen with Id 97
98,26,4,59,4,Some Random Commen with Id 98
99,27,3,120,5,Some Random Commen with Id 99
100,27,3,90,3,Some Random Commen with Id 100
101,27,3,10,9,Some Random Commen with Id 101
102,28,1,87,7,Some Random Commen with Id 102
103,28,1,8,8,Some Random Commen with Id 103
104,28,1,105,6,Some Random Commen with Id 104
105,28,1,41,9,Some Random Commen with Id 105
106,28,1,77,0,Some Random Commen with Id 106
107,28,1,161,0,Some Random Commen with Id 107
108,28,1,50,3,Some Random Commen with Id 108
109,29,3,37,7,Some Random Commen with Id 109
110,29,3,54,7,Some Random Commen with Id 110
111,29,3,130,4,Some Random Commen with Id 111
112,29,3,174,1,Some Random Commen with Id 112
113,29,3,52,9,Some Random Commen with Id 113
114,30,8,117,8,Some Random Commen with Id 114
115,30,8,158,7,Some Random Commen with Id 115
116,30,8,178,6,Some Random Commen with Id 116
117,30,8,139,3,Some Random Commen with Id 117
118,30,8,150,0,Some Random Commen with Id 118
119,30,8,70,5,Some Random Commen with Id 119
120,30,8,135,3,Some Random Commen with Id 120
121,31,2,133,8,Some Random Commen with Id 121
122,31,2,48,9,Some Random Commen with Id 122
123,32,8,39,3,Some Random Commen with Id 123
124,32,8,46,9,Some Random Commen with Id 124
125,32,8,126,6,Some Random Commen with Id 125
126,33,4,53,5,Some Random Commen with Id 126
127,33,4,144,6,Some Random Commen with Id 127
128,33,4,4,7,Some Random Commen with Id 128
129,33,4,177,1,Some Random Commen with Id 129
130,33,4,115,8,Some Random Commen with Id 130
131,33,4,19,3,Some Random Commen with Id 131
132,33,4,57,2,Some Random Commen with Id 132
133,34,9,81,3,Some Random Commen with Id 133
134,34,9,120,4,Some Random Commen with Id 134
135,34,9,30,6,Some Random Commen with Id 135
136,34,9,140,4,Some Random Commen with Id 136
137,34,9,95,2,Some Random Commen with Id 137
138,34,9,117,9,Some Random Commen with Id 138
139,34,9,149,0,Some Random Commen with Id 139
140,34,9,106,5,Some Random Commen with Id 140
141,34,9,49,3,Some Random Commen with Id 141
142,36,0,87,5,Some Random Commen with Id 142
143,36,0,12,9,Some Random Commen with Id 143
144,36,0,12,0,Some Random Commen with Id 144
145,36,0,53,6,Some Random Commen with Id 145
146,36,0,148,7,Some Random Commen with Id 146
147,36,0,26,4,Some Random Commen with Id 147
148,36,0,9,8,Some Random Commen with Id 148
149,36,0,110,5,Some Random Commen with Id 149
150,37,4,26,3,Some Random Commen with Id 150
151,37,4,10,3,Some Random Commen with Id 151
152,37,4,143,9,Some Random Commen with Id 152
153,37,4,51,4,Some Random Commen with Id 153
154,37,4,176,9,Some Random Commen with Id 154
155,38,7,109,4,Some Random Commen with Id 155
156,38,7,82,8,Some Random Commen with Id 156
157,38,7,67,1,Some Random Commen with Id 157
158,38,7,158,4,Some Random Commen with Id 158
159,38,7,103,5,Some Random Commen with Id 159
160,38,7,120,7,Some Random Commen with Id 160
161,39,1,4,8,Some Random Commen with Id 161
162,39,1,125,7,Some Random Commen with Id 162
163,39,1,90,4,Some Random Commen with Id 163
164,39,1,4,6,Some Random Commen with Id 164
